results_results:time_max,results_results:time_min,stat_type
313.62040829626,304.33656926886,3
299.68204132273,291.22017901025,3.05
327.5587752698,317.45295952747,3.95
20.907558307321,19.675381181014,4
0,0,4.05
24.141959772699,22.71825433982,4.95
